source,target,weight
1,1,103
1,11,2
1,27,2
1,40,1
1,65,1
1,66,1
1,142,1
1,290,1
1,297,1
1,343,1
1,344,2
1,351,1
1,360,1
1,362,1
1,370,3
1,425,2
1,440,4
1,450,3
1,461,1
1,622,1
1,750,2
1,960,1
1,1047,1
1,1131,1
1,1149,2
1,1231,1
1,1310,1
1,1353,8
1,1384,1
1,1409,7
1,1465,1
1,1532,2
1,1648,1
1,1703,1
1,1784,2
1,1826,2
1,1832,1
1,1946,2
1,1947,1
1,2031,2
1,2035,1
1,2060,1
1,2083,4
1,2106,1
1,2246,1
1,2260,1
1,2330,1
1,2384,1
1,2672,5
1,2841,2
1,2865,1
1,2868,1
1,2874,2
1,2938,5
1,3063,1
1,3156,1
1,3238,1
1,3272,1
1,3318,1
1,3485,3
1,3503,2
1,3521,1
1,3544,1
1,3546,1
1,3637,1
1,3639,1
1,3684,3
1,3824,1
1,3927,2
1,3993,1
1,3996,1
1,4008,2
1,4096,2
1,4144,1
1,4177,5
1,4231,2
1,4344,3
1,4354,1
1,4426,1
1,4428,1
1,4520,1
1,4556,1
1,4600,1
1,4692,1
1,4790,7
1,4923,1
1,4928,1
1,5031,1
1,5081,3
1,5387,5
1,5513,1
1,5566,2
1,5627,1
1,5901,1
1,6031,2
1,6101,1
1,6269,1
1,6316,1
1,6950,1
1,7041,1
1,7666,4
1,7721,2
1,7743,1
1,8736,1
1,9062,2
1,9449,1
1,9712,1
1,9947,1
1,9960,1
1,10076,2
1,10503,1
1,10775,1
1,10909,1
1,11011,1
1,11081,3
1,11142,2
1,11286,2
1,11966,2
1,12402,1
1,12489,1
1,14082,1
1,14726,1
1,16876,1
1,17332,1
1,18030,1
1,19829,2
1,23542,1
2,2,12
2,184,1
2,259,1
2,297,1
2,362,1
2,370,4
2,431,1
2,451,1
2,619,1
2,1238,1
2,1353,1
2,1465,1
2,1657,1
2,1784,1
2,1851,1
2,2623,1
2,2868,1
2,2874,3
2,2938,6
2,3049,1
2,3238,1
2,3701,1
2,4177,1
2,4528,3
2,4872,1
2,5094,1
2,12087,1
2,16858,1
2,35833,2
3,1,2
3,3,15
3,22,2
3,25,1
3,45,1
3,65,1
3,66,6
3,78,2
3,83,2
3,239,1
3,250,1
3,284,5
3,290,3
3,299,1
3,348,1
3,351,1
3,362,1
3,379,1
3,381,1
3,394,1
3,396,2
3,429,2
3,430,1
3,462,1
3,532,1
3,556,1
3,717,1
3,750,1
3,955,2
3,972,1
3,1042,1
3,1047,1
3,1107,1
3,1131,1
3,1149,2
3,1320,1
3,1353,3
3,1358,2
3,1409,2
3,1441,1
3,1459,1
3,1465,1
3,1467,1
3,1573,1
3,1612,1
3,1643,1
3,1784,5
3,1832,1
3,1841,1
3,1847,1
3,1946,1
3,2043,1
3,2330,2
3,2391,1
3,2508,1
3,2575,2
3,2604,1
3,2666,1
3,2672,8
3,2678,1
3,2954,1
3,3005,1
3,3156,3
3,3493,1
3,3546,6
3,3621,1
3,3637,1
3,3787,1
3,3818,3
3,3888,1
3,3919,1
3,3992,2
3,4155,1
3,4231,1
3,4304,3
3,4401,1
3,4520,1
3,4692,3
3,4782,2
3,4923,1
3,4987,1
3,5010,1
3,5292,1
3,5360,1
3,5627,3
3,5869,1
3,6094,2
3,6209,2
3,6316,4
3,6666,3
3,6772,1
3,6794,1
3,6871,1
3,6953,1
3,7031,3
3,7086,1
3,7486,1
3,7699,1
3,8047,1
3,9317,1
3,9417,1
3,10095,1
3,10446,1
3,10858,1
3,10898,1
3,10909,1
3,13809,1
3,14726,1
3,14969,1
3,16985,1
3,18760,1
3,19399,1
3,20757,1
3,21290,1
4,4,10
4,121,1
4,431,1
4,450,1
4,2083,2
4,2841,1
4,2874,1
4,3108,1
4,5094,1
4,5301,1
4,6269,1
4,10503,1
4,10775,2
4,11926,2
4,15054,1
7,7,12
7,45,2
7,297,1
7,391,1
7,943,1
7,1079,1
7,1116,1
7,1149,1
7,1186,1
7,1355,1
7,1450,1
7,1887,2
7,1916,1
7,2368,1
7,3485,1
7,3847,1
7,4008,2
7,4344,1
7,4428,5
7,4790,3
7,5094,1
7,6666,1
7,9919,1
7,13132,1
7,15404,1
7,19276,1
7,24965,2
11,1,5
11,11,7
11,66,1
11,297,1
11,299,1
11,450,1
11,2599,1
11,2841,1
11,3927,1
11,5572,1
11,7666,5
22,3,2
22,22,67
22,49,3
22,51,5
22,66,3
22,78,6
22,121,1
22,143,1
22,184,3
22,259,1
22,271,3
22,284,3
22,290,4
22,297,3
22,344,1
22,351,3
22,382,1
22,391,3
22,396,4
22,398,2
22,430,1
22,431,2
22,469,1
22,484,2
22,492,1
22,582,2
22,622,1
22,703,2
22,750,4
22,763,1
22,801,2
22,828,2
22,919,1
22,1035,2
22,1095,2
22,1121,1
22,1149,2
22,1162,1
22,1345,1
22,1355,1
22,1384,1
22,1409,1
22,1446,3
22,1450,1
22,1464,1
22,1587,3
22,1590,1
22,1593,1
22,1650,2
22,1784,3
22,1826,2
22,1847,6
22,1916,1
22,1946,1
22,2051,8
22,2083,1
22,2106,3
22,2233,2
22,2290,1
22,2294,2
22,2349,7
22,2530,1
22,2612,3
22,2620,2
22,2644,1
22,2669,1
22,2807,1
22,2837,1
22,2841,1
22,2874,1
22,3040,2
22,3063,2
22,3108,1
22,3186,1
22,3272,1
22,3503,1
22,3545,1
22,3546,1
22,3609,1
22,3684,1
22,3711,1
22,3773,4
22,3818,1
22,3983,1
22,3992,4
22,4042,1
22,4061,1
22,4086,1
22,4087,1
22,4158,2
22,4231,4
22,4304,1
22,4362,2
22,4367,2
22,4400,1
22,4556,2
22,4558,1
22,4692,1
22,4707,1
22,4721,3
22,4770,1
22,4842,3
22,4953,2
22,5360,1
22,5371,1
22,5420,1
22,5690,13
22,5810,1
22,6129,2
22,6269,3
22,6316,1
22,6355,1
22,6357,1
22,6400,1
22,6415,1
22,6531,1
22,6651,1
22,6670,1
22,6936,1
22,6976,4
22,7005,1
22,7089,1
22,7409,1
22,7504,1
22,7607,1
22,7762,1
22,7952,1
22,8212,2
22,8320,1
22,8528,1
22,9022,1
22,9062,1
22,9072,1
22,9417,1
22,10059,2
22,10266,2
22,10368,1
22,10446,1
22,10613,1
22,10718,2
22,11142,1
22,11146,3
22,11504,21
22,11521,1
22,11540,1
22,11919,1
22,12176,1
22,12301,4
22,12466,1
22,12481,1
22,13552,1
22,14312,1
22,14319,1
22,14450,1
22,14969,4
22,16934,1
22,16943,2
22,16944,1
22,17489,1
22,17845,1
22,18760,1
22,24338,1
22,35416,4
22,36108,3
25,25,9
25,382,1
25,431,3
25,451,1
25,709,1
25,767,2
25,935,1
25,955,1
25,1050,1
25,1056,1
25,1121,1
25,1353,1
25,1384,2
25,1532,1
25,1587,1
25,1946,1
25,2051,1
25,2330,1
25,2389,1
25,2841,1
25,2938,1
25,3106,1
25,3503,1
25,3684,2
25,3736,1
25,4312,1
25,4354,2
25,4416,1
25,4619,1
25,4677,1
25,5002,1
25,6094,1
25,6886,1
25,8430,1
25,9163,1
25,14689,1
25,14830,1
25,17845,1
25,17847,1
27,27,4
27,290,1
27,1234,1
27,1409,1
27,1459,1
27,1847,1
27,2060,1
27,2807,1
27,2883,1
27,3609,1
27,3859,1
27,4961,1
27,10095,1
27,10708,1
32,32,10
32,733,1
32,1114,2
32,1148,1
32,1353,3
32,1826,1
32,2191,1
32,2625,1
32,2841,3
32,8320,1
32,9492,1
32,16943,1
32,19475,1
32,21902,1
32,27701,1
32,37691,1
40,40,5
40,370,1
40,1114,1
40,2757,1
40,3049,1
40,3927,1
45,1,2
45,2,1
45,7,1
45,45,168
45,66,3
45,78,8
45,83,4
45,121,1
45,184,7
45,238,1
45,290,4
45,299,2
45,303,4
45,321,1
45,344,1
45,346,1
45,348,3
45,350,1
45,360,1
45,377,1
45,391,3
45,394,2
45,402,5
45,406,3
45,425,2
45,435,1
45,447,1
45,450,2
45,469,1
45,586,2
45,622,1
45,733,1
45,756,1
45,828,2
45,840,2
45,960,1
45,972,1
45,987,2
45,1040,2
45,1095,1
45,1106,1
45,1131,2
45,1148,1
45,1149,5
45,1256,1
45,1291,1
45,1302,4
45,1345,1
45,1353,5
45,1384,6
45,1409,3
45,1441,3
45,1450,1
45,1465,1
45,1532,2
45,1573,5
45,1580,1
45,1587,1
45,1610,2
45,1622,1
45,1631,1
45,1650,1
45,1784,2
45,1826,1
45,1847,2
45,1851,2
45,1916,2
45,1946,3
45,1977,1
45,2036,2
45,2051,1
45,2082,1
45,2083,3
45,2189,1
45,2233,1
45,2264,1
45,2349,1
45,2356,1
45,2362,1
45,2384,1
45,2386,2
45,2391,2
45,2510,3
45,2530,3
45,2554,4
45,2597,1
45,2612,2
45,2625,1
45,2672,2
45,2678,1
45,2757,4
45,2811,1
45,2841,9
45,2926,2
45,2938,1
45,3040,1
45,3121,1
45,3233,3
45,3315,2
45,3324,1
45,3350,1
45,3356,1
45,3473,2
45,3509,1
